,DateTime,Open,High,Low,Close
0,2022-05-30 01:00:00,1853.46,1853.46,1852.08,1852.48
1,2022-05-30 01:05:00,1852.5,1853.87,1852.49,1853.5
2,2022-05-30 01:10:00,1853.5,1853.86,1853.45,1853.8
3,2022-05-30 01:15:00,1853.82,1853.82,1853.22,1853.22
4,2022-05-30 01:20:00,1853.25,1853.33,1852.71,1852.9
5,2022-05-30 01:25:00,1852.9,1853.08,1852.76,1853.08
6,2022-05-30 01:30:00,1853.04,1853.17,1852.31,1852.59
7,2022-05-30 01:35:00,1852.57,1852.82,1852.25,1852.43
8,2022-05-30 01:40:00,1852.43,1852.43,1852.01,1852.21
9,2022-05-30 01:45:00,1852.21,1852.25,1851.33,1851.4
10,2022-05-30 01:50:00,1851.39,1851.75,1851.17,1851.29
11,2022-05-30 01:55:00,1851.32,1851.53,1850.86,1850.91
12,2022-05-30 02:00:00,1850.91,1850.95,1850.73,1850.83
13,2022-05-30 02:05:00,1850.82,1850.97,1848.26,1849.36
14,2022-05-30 02:10:00,1849.38,1849.52,1848.59,1848.93
15,2022-05-30 02:15:00,1849.04,1849.8,1848.9,1849.51
16,2022-05-30 02:20:00,1849.42,1849.52,1848.54,1848.96
17,2022-05-30 02:25:00,1848.96,1849.73,1848.96,1849.51
18,2022-05-30 02:30:00,1849.5,1849.99,1849.34,1849.39